iter	Accuracy	MultiClass
265	1	0.7498720567
266	1	0.7458421746
267	1	0.74279733
268	1	0.7400980124
269	1	0.7372123153
270	1	0.7346517455
271	1	0.7321666112
272	1	0.7295166839
273	1	0.7247931324
274	1	0.7226143047
275	1	0.7175475593
276	1	0.7148883572
277	1	0.7122823418
278	1	0.7096836436
279	1	0.7072501776
280	1	0.7029582135
281	1	0.7005500347
282	1	0.6979680725
283	1	0.6953719547
284	1	0.6927269449
285	1	0.6904689359
286	1	0.6878100315
287	1	0.6855022813
288	1	0.6831998377
289	1	0.6801555652
290	1	0.6777109714
291	1	0.6751083941
292	1	0.6711011254
293	1	0.6688210623
294	1	0.6666399827
295	1	0.6642593896
296	1	0.6600766401
297	1	0.655853267
298	1	0.6537360675
299	1	0.6513098059
300	1	0.6467978346
301	1	0.6437852294
302	1	0.6415185103
303	1	0.6379574537
304	1	0.6358493381
305	1	0.6335869251
306	1	0.6297161788
307	1	0.6273624382
308	1	0.6229533869
309	1	0.620009176
310	1	0.6176271793
311	1	0.6157866535
312	1	0.6137003981
313	1	0.6117808498
314	1	0.6097097818
315	1	0.6078599076
316	1	0.6052911231
317	1	0.6032241234
318	1	0.6010842307
319	1	0.599048185
320	1	0.5971288858
321	1	0.5951910981
322	1	0.5922662328
323	1	0.5902527633
324	1	0.5884546872
325	1	0.5864230813
326	1	0.5846469913
327	1	0.580837723
328	1	0.5791981241
329	1	0.5773667727
330	1	0.5734656028
331	1	0.57105756
332	1	0.5686271832
333	1	0.5666375048
334	1	0.5647521758
335	1	0.5631606739
336	1	0.5614912651
337	1	0.5596422547
338	1	0.557990843
339	1	0.555649536
340	1	0.5537520179
341	1	0.5513723194
342	1	0.5478211673
343	1	0.5462663579
344	1	0.5437922349
345	1	0.5412281186
346	1	0.5390473973
347	1	0.5361707136
348	1	0.5340837098
349	1	0.5321986599
350	1	0.5298147094
351	1	0.528381066
352	1	0.526586264
353	1	0.5248780321
354	1	0.5216097182
355	1	0.5200089346
356	1	0.5176492246
357	1	0.5160108149
358	1	0.5146192212
359	1	0.5116434069
360	1	0.5094734143
361	1	0.5080994544
362	1	0.5066281457
363	1	0.5050001447
364	1	0.5014509567
365	1	0.4980638326
366	1	0.4956656721
367	1	0.4942522619
368	1	0.4928681787
369	1	0.4915506748
370	1	0.4885543376
371	1	0.4858082622
372	1	0.4828604718
373	1	0.479918346
374	1	0.4786580522
375	1	0.4773469955
376	1	0.4761151909
377	1	0.4744992103
378	1	0.4732031014
379	1	0.4718258483
380	1	0.4703172842
381	1	0.4688310805
382	1	0.4675067916
383	1	0.4648512978
384	1	0.4635539999
385	1	0.462147292
386	1	0.4606940735
387	1	0.4592824945
388	1	0.457965125
389	1	0.4566190848
390	1	0.4549669457
391	1	0.4526086304
392	1	0.4514756812
393	1	0.450372446
394	1	0.4478416163
395	1	0.4456755003
396	1	0.44290648
397	1	0.4413849713
398	1	0.4391666548
399	1	0.4380167887
400	1	0.4368517923
401	1	0.4354809873
402	1	0.4342117954
403	1	0.4326146462
404	1	0.4300935102
405	1	0.4288632167
406	1	0.426220486
407	1	0.4235504923
408	1	0.4224029561
409	1	0.4215503577
410	1	0.4191258199
411	1	0.4166156271
412	1	0.4142751502
413	1	0.4133183593
414	1	0.4123292463
415	1	0.4103351098
416	1	0.407755234
417	1	0.406851188
418	1	0.4046287541
419	1	0.4035386899
420	1	0.4010162111
421	1	0.3992450171
422	1	0.39820673
423	1	0.3973966755
424	1	0.3963502986
425	1	0.3951025084
426	1	0.3927100907
427	1	0.3914341584
428	1	0.3901587851
429	1	0.3877583012
430	1	0.385518655
431	1	0.383444249
432	1	0.3812287104
433	1	0.3794522441
434	1	0.3770590991
435	1	0.3754162489
436	1	0.3731967556
437	1	0.3716890104
438	1	0.3709135349
439	1	0.3693354839
440	1	0.3682724842
441	1	0.3672631723
442	1	0.3663164764
443	1	0.3641425067
444	1	0.3632577317
445	1	0.3613180855
446	1	0.3600900124
447	1	0.3592100144
448	1	0.3583578378
449	1	0.3563883587
450	1	0.3555494533
451	1	0.3545784529
452	1	0.3527961336
453	1	0.350706711
454	1	0.3499950643
455	1	0.348160197
456	1	0.3466595586
457	1	0.3456774181
458	1	0.3438003446
459	1	0.3420019426
460	1	0.3402051381
461	1	0.3384177835
462	1	0.3369034669
463	1	0.3349348594
464	1	0.3337396148
465	1	0.3329641374
466	1	0.3317256806
467	1	0.3306584041
468	1	0.3299758268
469	1	0.3292403596
470	1	0.3280379941
471	1	0.3272042921
472	1	0.3255376584
473	1	0.323752225
474	1	0.3227221077
475	1	0.3211791234
476	1	0.3196613032
477	1	0.3185580162
478	1	0.3177798843
479	1	0.3169606383
480	1	0.3152418494
481	1	0.3145762604
482	1	0.3133655118
483	1	0.3127029259
484	1	0.3116662032
485	1	0.3110119923
486	1	0.3093259473
487	1	0.308550683
488	1	0.307194712
489	1	0.3058407987
490	1	0.3044108446
491	1	0.3034729109
492	1	0.3020213315
493	1	0.300628456
494	1	0.2997823574
495	1	0.299213124
496	1	0.2981614657
497	1	0.2965766067
498	1	0.2959017666
499	1	0.2952620234
