iter	Passed	Remaining
287	8263	6082
288	8294	6056
289	8323	6027
290	8352	5998
291	8381	5970
292	8410	5941
293	8439	5913
294	8468	5885
295	8499	5857
296	8530	5830
297	8560	5802
298	8586	5771
299	8613	5742
300	8641	5713
301	8676	5688
302	8705	5660
303	8743	5636
304	8770	5607
305	8799	5578
306	8826	5548
307	8852	5518
308	8885	5492
309	8912	5462
310	8933	5429
311	8958	5398
312	8988	5370
313	9017	5341
314	9044	5311
315	9072	5282
316	9101	5254
317	9132	5226
318	9160	5197
319	9187	5167
320	9216	5139
321	9244	5110
322	9273	5081
323	9299	5051
324	9329	5023
325	9360	4996
326	9390	4968
327	9419	4939
328	9446	4909
329	9471	4879
330	9496	4848
331	9527	4821
332	9553	4791
333	9581	4762
334	9610	4733
335	9640	4705
336	9668	4676
337	9699	4648
338	9726	4619
339	9754	4590
340	9781	4560
341	9811	4532
342	9840	4504
343	9867	4474
344	9894	4445
345	9923	4416
346	9951	4388
347	9980	4359
348	10010	4331
349	10037	4301
350	10059	4270
351	10086	4240
352	10114	4211
353	10145	4184
354	10173	4155
355	10202	4126
356	10235	4099
357	10260	4069
358	10285	4039
359	10312	4010
360	10340	3981
361	10367	3952
362	10396	3923
363	10426	3895
364	10455	3866
365	10481	3837
366	10509	3808
367	10534	3778
368	10565	3750
369	10596	3723
370	10623	3693
371	10649	3664
372	10679	3636
373	10707	3607
374	10739	3579
375	10769	3551
376	10798	3523
377	10828	3494
378	10856	3466
379	10884	3437
380	10928	3413
381	10958	3385
382	10987	3356
383	11014	3327
384	11042	3298
385	11073	3270
386	11102	3241
387	11132	3213
388	11163	3185
389	11193	3157
390	11221	3128
391	11250	3099
392	11278	3070
393	11308	3042
394	11337	3013
395	11363	2984
396	11391	2955
397	11418	2926
398	11446	2897
399	11473	2868
400	11500	2839
401	11531	2811
402	11562	2782
403	11589	2754
404	11621	2726
405	11648	2696
406	11678	2668
407	11707	2639
408	11738	2611
409	11766	2582
410	11793	2553
411	11823	2525
412	11853	2497
413	11882	2468
414	11913	2440
415	11940	2411
416	11971	2382
417	12003	2354
418	12033	2326
419	12061	2297
420	12087	2268
421	12117	2239
422	12148	2211
423	12179	2183
424	12212	2155
425	12241	2126
426	12273	2098
427	12306	2070
428	12338	2042
429	12371	2013
430	12399	1985
431	12428	1956
432	12455	1927
433	12484	1898
434	12516	1870
435	12540	1840
436	12566	1811
437	12593	1782
438	12621	1753
439	12650	1725
440	12680	1696
441	12708	1667
442	12733	1638
443	12763	1609
444	12799	1581
445	12829	1553
446	12859	1524
447	12889	1496
448	12922	1467
449	12950	1438
450	12979	1410
451	13007	1381
452	13037	1352
453	13067	1323
454	13097	1295
455	13126	1266
456	13153	1237
457	13185	1209
458	13214	1180
459	13240	1151
460	13267	1122
461	13296	1093
462	13327	1065
463	13357	1036
464	13387	1007
465	13416	978
466	13440	949
467	13467	920
468	13495	891
469	13526	863
470	13553	834
471	13581	805
472	13608	776
473	13636	748
474	13669	719
475	13698	690
476	13725	661
477	13752	632
478	13778	604
479	13808	575
480	13839	546
481	13867	517
482	13898	489
483	13928	460
484	13958	431
485	13989	402
486	14019	374
487	14051	345
488	14079	316
489	14108	287
490	14144	259
491	14175	230
492	14205	201
493	14235	172
494	14265	144
495	14295	115
496	14323	86
497	14349	57
498	14380	28
499	14409	0
